hotel,is_canceled,lead_time,arrival_date_year,Fee
Resort Hotel,1,58,2015,2470
Resort Hotel,1,17,2015,5112
Resort Hotel,0,19,2015,5063
Resort Hotel,0,10,2015,5962
Resort Hotel,1,12,2015,2457
Resort Hotel,0,10,2015,6841
Resort Hotel,0,63,2015,7243
Resort Hotel,1,35,2015,4148
Resort Hotel,0,113,2015,2036
Resort Hotel,1,35,2015,4148
Resort Hotel,0,68,2015,3519
Resort Hotel,0,113,2015,7037
Resort Hotel,0,21,2015,250
Resort Hotel,0,6,2015,1662
Resort Hotel,0,7,2015,2816
Resort Hotel,0,17,2015,7461
Resort Hotel,0,1,2015,426
Resort Hotel,0,2,2015,7622
Resort Hotel,1,15,2015,4434
Resort Hotel,1,7,2015,5255
Resort Hotel,0,11,2015,2421
Resort Hotel,1,6,2015,2772
Resort Hotel,0,1,2015,1823
Resort Hotel,0,1,2015,2031
Resort Hotel,0,48,2015,5795
Resort Hotel,0,15,2015,7931
Resort Hotel,1,3,2015,454
Resort Hotel,1,23,2015,3185
Resort Hotel,0,53,2015,4278
Resort Hotel,0,53,2015,6407
Resort Hotel,0,94,2015,4093
Resort Hotel,0,64,2015,7774
Resort Hotel,0,53,2015,7399
Resort Hotel,0,53,2015,336
Resort Hotel,0,64,2015,342
Resort Hotel,0,53,2015,290
Resort Hotel,0,24,2015,1895
Resort Hotel,0,24,2015,7101
Resort Hotel,0,23,2015,628
Resort Hotel,0,53,2015,6155
Resort Hotel,1,23,2015,4998
Resort Hotel,0,90,2015,688
Resort Hotel,0,79,2015,2883
Resort Hotel,0,43,2015,1185
Resort Hotel,0,90,2015,4819
Resort Hotel,0,65,2015,2515
Resort Hotel,0,65,2015,368
Resort Hotel,0,99,2015,4070
Resort Hotel,0,25,2015,7626
Resort Hotel,0,92,2015,2753
Resort Hotel,0,91,2015,5469
Resort Hotel,0,38,2015,2515
Resort Hotel,0,6,2015,3206
Resort Hotel,0,38,2015,4742
Resort Hotel,0,13,2015,5521
Resort Hotel,1,32,2015,1948
Resort Hotel,0,315,2015,5283
Resort Hotel,0,8,2015,5473
Resort Hotel,1,0,2015,4062
Resort Hotel,0,91,2015,4453
Resort Hotel,0,3,2015,4244
Resort Hotel,0,9,2015,899
Resort Hotel,0,19,2015,2039
Resort Hotel,0,25,2015,4134
Resort Hotel,0,108,2015,271
Resort Hotel,1,37,2015,1494
Resort Hotel,0,45,2015,6725
Resort Hotel,0,64,2015,5723
Resort Hotel,0,44,2015,7224
Resort Hotel,0,26,2015,2302
Resort Hotel,1,96,2015,411
Resort Hotel,1,123,2015,7699
Resort Hotel,1,42,2015,5210
Resort Hotel,0,59,2015,5429
Resort Hotel,0,28,2015,1398
Resort Hotel,0,106,2015,1779
Resort Hotel,0,1,2015,1475
Resort Hotel,0,0,2015,3600
Resort Hotel,0,4,2015,7819
Resort Hotel,0,3,2015,1278
Resort Hotel,0,73,2015,2898
Resort Hotel,0,44,2015,7286
Resort Hotel,0,95,2015,1836
Resort Hotel,0,94,2015,3351
Resort Hotel,1,40,2015,1384
Resort Hotel,0,64,2015,6292
Resort Hotel,0,64,2015,5089
Resort Hotel,0,94,2015,57
Resort Hotel,0,57,2015,2872
Resort Hotel,1,60,2015,3445
Resort Hotel,0,57,2015,1330
Resort Hotel,0,87,2015,3049
Resort Hotel,0,0,2015,4830
Resort Hotel,0,0,2015,5537
Resort Hotel,0,6,2015,6060
Resort Hotel,0,0,2015,4534
Resort Hotel,0,19,2015,7300
Resort Hotel,0,4,2015,6420
Resort Hotel,1,59,2015,5202
Resort Hotel,0,44,2015,1576
Resort Hotel,1,37,2015,5294
Resort Hotel,0,66,2015,149
Resort Hotel,1,38,2015,6244
Resort Hotel,1,62,2015,5426
Resort Hotel,0,41,2015,714
Resort Hotel,1,60,2015,4134
Resort Hotel,0,104,2015,5684
Resort Hotel,1,62,2015,4676
Resort Hotel,0,117,2015,4551
Resort Hotel,1,31,2015,3425
Resort Hotel,0,34,2015,7784
Resort Hotel,0,47,2015,1611
Resort Hotel,1,24,2015,204
Resort Hotel,1,104,2015,6808
Resort Hotel,0,104,2015,5402
Resort Hotel,0,32,2015,179
Resort Hotel,1,47,2015,7816
Resort Hotel,0,29,2015,5430
Resort Hotel,0,30,2015,3327
Resort Hotel,0,123,2015,3496
Resort Hotel,0,14,2015,4109
Resort Hotel,1,118,2015,6868
Resort Hotel,0,0,2015,5273
Resort Hotel,0,0,2015,2962
Resort Hotel,0,79,2015,5185
Resort Hotel,0,63,2015,533
Resort Hotel,0,68,2015,5334
Resort Hotel,0,96,2015,7727
Resort Hotel,1,41,2015,7202
Resort Hotel,0,46,2015,1198
Resort Hotel,1,41,2015,6750
Resort Hotel,1,60,2015,972
Resort Hotel,0,41,2015,2263
Resort Hotel,1,69,2015,3023
Resort Hotel,1,41,2015,7699
Resort Hotel,0,52,2015,5621
Resort Hotel,1,41,2015,4176
Resort Hotel,0,89,2015,4275
Resort Hotel,1,28,2015,5043
Resort Hotel,0,65,2015,444
Resort Hotel,0,82,2015,7278
Resort Hotel,0,42,2015,5942
Resort Hotel,0,62,2015,7752
Resort Hotel,1,86,2015,3355
Resort Hotel,1,118,2015,5766
Resort Hotel,0,28,2015,5965
Resort Hotel,1,52,2015,1666
Resort Hotel,1,49,2015,3856
Resort Hotel,0,39,2015,7160
Resort Hotel,0,39,2015,4040
Resort Hotel,0,39,2015,2937
Resort Hotel,1,7,2015,4448
Resort Hotel,1,7,2015,7572
Resort Hotel,1,42,2015,1126
Resort Hotel,0,5,2015,5575
Resort Hotel,1,81,2015,2426
Resort Hotel,1,63,2015,4875
Resort Hotel,0,61,2015,3046
Resort Hotel,0,8,2015,6192
Resort Hotel,0,89,2015,6528
Resort Hotel,0,57,2015,3956
Resort Hotel,0,102,2015,7355
Resort Hotel,0,108,2015,285
Resort Hotel,0,28,2015,1689
Resort Hotel,0,29,2015,5850
Resort Hotel,0,0,2015,1930
Resort Hotel,1,96,2015,1983
Resort Hotel,1,44,2015,5018
Resort Hotel,0,44,2015,4583
Resort Hotel,1,44,2015,1066
Resort Hotel,1,44,2015,3455
Resort Hotel,1,41,2015,7788
Resort Hotel,0,16,2015,6204
Resort Hotel,0,73,2015,1186
Resort Hotel,0,3,2015,6419
Resort Hotel,0,0,2015,7956
Resort Hotel,1,55,2015,3401
Resort Hotel,0,33,2015,4629
Resort Hotel,1,19,2015,899
Resort Hotel,1,55,2015,7195
Resort Hotel,0,33,2015,715
Resort Hotel,1,19,2015,6855
Resort Hotel,1,19,2015,4526
Resort Hotel,0,117,2015,3080
Resort Hotel,1,72,2015,4930
Resort Hotel,1,19,2015,1507
Resort Hotel,0,34,2015,488
Resort Hotel,0,9,2015,7225
Resort Hotel,0,8,2015,7790
Resort Hotel,1,36,2015,2338
Resort Hotel,0,22,2015,3398
Resort Hotel,0,22,2015,3902
Resort Hotel,0,22,2015,1689
Resort Hotel,0,36,2015,5302
Resort Hotel,0,22,2015,4010
Resort Hotel,1,22,2015,583
Resort Hotel,0,18,2015,3741
Resort Hotel,0,8,2015,6119
Resort Hotel,1,67,2015,5005
Resort Hotel,1,105,2015,5655
Resort Hotel,0,1,2015,403
Resort Hotel,1,67,2015,2805
Resort Hotel,0,39,2015,3369
Resort Hotel,1,45,2015,6626
Resort Hotel,1,45,2015,1357
Resort Hotel,0,14,2015,146
Resort Hotel,1,53,2015,4727
Resort Hotel,0,28,2015,557
Resort Hotel,0,55,2015,6981
Resort Hotel,0,55,2015,2361
Resort Hotel,0,25,2015,2829
Resort Hotel,1,43,2015,4447
Resort Hotel,1,109,2015,3154
Resort Hotel,1,62,2015,2922
Resort Hotel,0,25,2015,1070
Resort Hotel,0,43,2015,4506
Resort Hotel,0,35,2015,3978
Resort Hotel,1,42,2015,2959
Resort Hotel,1,312,2015,5295
Resort Hotel,0,30,2015,3921
Resort Hotel,0,47,2015,4586
Resort Hotel,0,40,2015,1256
Resort Hotel,0,11,2015,2398
Resort Hotel,0,39,2015,708
Resort Hotel,1,39,2015,4858
Resort Hotel,0,1,2015,2918
Resort Hotel,1,12,2015,6543
Resort Hotel,1,16,2015,1118
Resort Hotel,1,16,2015,2139
Resort Hotel,0,12,2015,4108
Resort Hotel,0,51,2015,733
Resort Hotel,0,67,2015,2659
Resort Hotel,0,52,2015,3631
Resort Hotel,0,25,2015,5633
Resort Hotel,0,94,2015,5928
Resort Hotel,1,54,2015,1428
Resort Hotel,0,33,2015,4205
Resort Hotel,0,47,2015,2716
Resort Hotel,0,43,2015,6939
Resort Hotel,1,87,2015,2176
Resort Hotel,0,54,2015,6876
Resort Hotel,0,32,2015,1924
Resort Hotel,1,29,2015,4214
Resort Hotel,1,96,2015,7580
Resort Hotel,1,100,2015,1852
Resort Hotel,0,54,2015,1661
Resort Hotel,0,75,2015,7544
Resort Hotel,0,31,2015,2836
Resort Hotel,1,25,2015,759
Resort Hotel,0,61,2015,6917
Resort Hotel,0,60,2015,366
Resort Hotel,1,31,2015,7841
Resort Hotel,1,107,2015,7932
Resort Hotel,1,31,2015,814
Resort Hotel,0,115,2015,7636
Resort Hotel,0,59,2015,5890
Resort Hotel,1,85,2015,7128
Resort Hotel,0,0,2015,4488
Resort Hotel,1,299,2015,3142
Resort Hotel,0,50,2015,307
Resort Hotel,1,50,2015,6871
Resort Hotel,1,88,2015,2870
Resort Hotel,1,116,2015,7717
Resort Hotel,0,47,2015,7528
Resort Hotel,0,48,2015,6983
Resort Hotel,1,54,2015,3341
Resort Hotel,1,33,2015,3423
Resort Hotel,0,73,2015,7879
Resort Hotel,1,54,2015,1753
Resort Hotel,1,33,2015,2848
Resort Hotel,0,38,2015,1970
Resort Hotel,0,34,2015,3444
Resort Hotel,0,130,2015,744
Resort Hotel,1,39,2015,1477
Resort Hotel,1,39,2015,4461
Resort Hotel,0,45,2015,6774
Resort Hotel,0,31,2015,1700
Resort Hotel,1,48,2015,2897
Resort Hotel,0,59,2015,7526
Resort Hotel,1,48,2015,162
Resort Hotel,1,48,2015,5557
Resort Hotel,1,48,2015,1558
Resort Hotel,0,48,2015,1171
Resort Hotel,0,96,2015,770
Resort Hotel,0,51,2015,7682
Resort Hotel,0,96,2015,1178
Resort Hotel,1,41,2015,7067
Resort Hotel,0,6,2015,7901
Resort Hotel,0,27,2015,5435
Resort Hotel,0,28,2015,3327
Resort Hotel,0,30,2015,2452
Resort Hotel,0,45,2015,3299
Resort Hotel,0,52,2015,4280
Resort Hotel,0,31,2015,5625
Resort Hotel,1,74,2015,1525
Resort Hotel,0,31,2015,2031
Resort Hotel,1,87,2015,3931
Resort Hotel,0,48,2015,3970
Resort Hotel,1,41,2015,3398
Resort Hotel,0,35,2015,6268
Resort Hotel,0,28,2015,7493
Resort Hotel,0,77,2015,3944
Resort Hotel,1,33,2015,7196
Resort Hotel,0,30,2015,847
Resort Hotel,1,34,2015,7696
Resort Hotel,1,298,2015,2644
Resort Hotel,0,35,2015,3786
Resort Hotel,0,40,2015,3607
Resort Hotel,1,101,2015,2881
Resort Hotel,1,101,2015,1483
Resort Hotel,1,101,2015,6079
Resort Hotel,1,101,2015,2285
Resort Hotel,0,38,2015,6775
Resort Hotel,0,76,2015,3742
Resort Hotel,0,70,2015,6739
Resort Hotel,0,70,2015,4823
Resort Hotel,0,68,2015,6622
Resort Hotel,1,63,2015,7645
Resort Hotel,1,11,2015,182
Resort Hotel,0,32,2015,3440
Resort Hotel,0,29,2015,5415
Resort Hotel,0,47,2015,6534
Resort Hotel,0,50,2015,7172
Resort Hotel,1,29,2015,6378
Resort Hotel,0,36,2015,3334
Resort Hotel,0,49,2015,271
Resort Hotel,1,70,2015,6630
Resort Hotel,0,110,2015,3217
Resort Hotel,0,8,2015,4791
Resort Hotel,1,119,2015,136
Resort Hotel,0,30,2015,4945
Resort Hotel,1,29,2015,2106
Resort Hotel,0,71,2015,7829
